country,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,0,0.223,2.06,0.187,17.1,21.2,−3.86,−1.66,−5.88,−0.419,6.16,12.9,6.81,27.1,−6.83,−13.9,17.1,7.9,−4.74,−8.92,9.09,−18,0.688,−0.425,7.81,19.1,−12.4,8.3,8.98,−0.971,0.923,5.25,4.24,,
Afghanistan,0.0132,0.0246,0.0094,0.0156,,,0.00157,−0.00813,,0.0324,0.247,0.00517,,,,,,,,,,,,,,,,,,,,,1.23,1.28,3.58,4.36,3.41,1.94,0.455,0.452,1.2,0.293,0.285,0.24,0.21,0.884,0.517,0.275,0.662,0.124,0.0645
Angola,,,,,,,,,,,0.631,0.884,2.09,1.8,1.1,3.68,3.31,1.47,1.49,1.96,−2.98,6.27,3.47,5.24,3.84,8.53,2.4,5.38,17.1,40.2,9.62,24,11.4,20.1,9.33,−3.53,−0.072,−1.37,1.9,3.14,−3.85,−2.7,−1.14,−5.21,2.51,8.63,−0.178,−6.06,−6.37,−4.58,−3.2
Albania,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3.07,4.89,2.82,2.93,2.82,2.1,1.77,1.28,4.11,5.29,3.1,3.17,4.75,3.26,3.65,6.11,9.68,11.2,9.14,8.14,7.45,9.82,8.69,8.69,8.81,7.86,7.95,7.8,7.19
United Arab Emirates,,,,,,0.108,0.257,0.451,0.165,0.207,0.224,−0.0343,0.204,0.106,0.407,−0.544,0.325,0.128,0.521,0.0935,−0.228,0.0503,0.239,0.721,0.105,0.608,0.408,0.295,0.34,−1.17,−0.485,1.15,0.0868,3.42,6.77,6.03,5.77,5.5,1.6,0.447,3.04,2.04,2.55,2.5,2.75,2.39,2.69,2.69,2.46,4.28,5.54
Argentina,0.284,0.377,0.206,0.191,0.0247,0.106,0.478,0.254,0.43,0.297,0.881,1.06,0.269,0.178,0.339,1.04,0.517,−0.0171,0.909,1.34,1.3,1.29,1.94,1.18,1.41,2.17,2.55,3.13,2.44,8.46,3.67,0.806,2.2,1.29,2.51,2.65,2.38,2.25,2.69,1.21,2.68,2.04,2.81,1.78,0.962,1.98,0.585,1.79,2.23,1.47,1.03
Armenia,,,,,,,,,,,,,,,,,,,,,,,0.189,0.0666,0.608,1.72,1.1,3.17,12.3,6.61,5.45,3.3,4.66,4.38,6.91,5.96,7.31,7.25,8.09,8.79,5.72,6.44,4.68,3.11,3.5,1.74,3.16,2.18,2.14,0.741,0.373
Antigua and Barbuda,,,,,,,,2.84,−7.85,7.79,14.9,15.2,14,2.75,2.11,6.48,7.78,11.4,8.27,9.82,13.2,11.4,3.94,2.85,4.21,5.45,3.05,3.37,3.13,6.76,5.22,12.3,8.09,19.4,8.74,21.6,31,25.8,11.6,6.57,8.42,5.73,10.8,11.4,3.7,8.53,6.78,10.3,12.8,7.57,5.37
Australia,2.16,2.55,2.02,0.212,1.49,0.461,0.996,1.03,1.41,1.1,1.24,1.33,1.18,1.69,0.221,1.16,2.94,2.74,3.59,2.68,2.72,0.801,1.52,1.7,1.38,3.61,1.14,1.86,1.9,0.568,3.58,2.83,3.71,1.92,6.99,−3.61,4.09,5.2,4.28,3.09,3.07,4.69,3.72,3.46,4.31,3.47,3.56,3.63,4.29,2.81,1.48
Austria,0.733,0.799,0.659,0.545,0.503,0.197,0.212,0.188,0.229,0.254,0.292,0.461,0.292,0.3,0.17,0.244,0.185,0.319,0.334,0.437,0.392,0.207,0.761,0.591,1.02,0.757,1.82,1.25,2.09,1.37,4.31,2.88,0.0645,2.36,1.06,25.7,3.12,17.7,1.46,3.56,−5.61,5.32,1.27,0.105,0.387,−2.09,−7.31,3.24,−6.28,−2.95,−4.2
