country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,4.01,4.13,4.79,11.3,5.14,7.32,4.97,4.04,6.54,8.31,4.35,6.76
Afghanistan,,,,,,,,,,,,0,0,
Angola,,,,,,,,,12.6,13,19.4,3.97,26.4,
Albania,,,1.33,1.46,1.02,0.923,0.89,0.257,1.63,0.784,0.0885,0.0447,0.128,0.357
Andorra,23.8,16.4,12.2,23.6,18.5,20.7,23.6,20.7,22.6,24.3,23.3,28.5,,
United Arab Emirates,,3.31,,,,3.77,3.61,10.2,5.3,2.62,2.72,3.04,2.85,5.17
Argentina,6.96,9.33,9.03,7.68,7.32,6.64,7.46,7.06,9.23,8.98,9.21,5.4,5.21,6.9
Armenia,1.14,1.57,2.84,2.32,3.37,2.85,3.03,3.02,5.65,6.14,7.55,7.06,9.79,7
Antigua and Barbuda,,,,,,,0,0,0,0.0261,0.375,0.613,0,
Australia,14.5,15.3,16.7,16.5,17.9,17.3,18,19,19.7,20.6,17.7,18.2,21.3,21.5
Austria,13,12.7,13.4,13.7,13.3,14.5,15.4,15.5,15,14.5,12.9,11.6,11.5,12.3
Azerbaijan,4.31,1.15,1.02,1.37,1.73,8.56,13.8,7.73,3.9,2.81,3.3,4.35,4.95,7.1
Burundi,,,,,,,0.305,1.46,3.49,3.2,1.66,17,1.53,0.17
Belgium,8.46,8.94,11.4,9.26,8.67,8.94,10.6,11.9,12.3,13.3,11.5,11.7,14.1,15.2
Benin,,,,,,,1.28,4.14,2.17,1.25,5.31,2.85,2.55,2.68
Burkina Faso,,,0.745,7.91,7.31,8.64,14,11,5.29,5.94,5.93,5.94,25.8,3.4
Bangladesh,,0.435,0.306,0.213,0.195,0.463,0.299,,0.308,,,,,
Bulgaria,6.29,6.97,8.66,8.4,7.81,8.04,8.28,7.56,8.43,8.98,9.63,10.4,10.8,11.3
Bahrain,,,0.0312,0.11,0.152,0.387,0.592,1.5,0.936,1.06,0.625,0.449,4.45,
Bahamas,,,30µ,0.0018,0,0,0,0,0,2.1,7.8,1.97,,
Bosnia and Herzegovina,,4.5,3.54,2.83,3.27,2.62,2.4,2.5,2.96,2.73,5.44,5.25,5.27,4.61
Belarus,,2.43,3.14,3.05,2.56,2.83,4.59,4.16,4.47,4.87,4.39,4.05,4.25,4.77
Belize,,,,,4.78,0,0,0,0,0,80µ,0.0665,0,0.938
Bermuda,,,,,,12.3,12.6,28.6,27.2,48.8,21.8,17.1,6.94,5.48
Bolivia,4.68,4.43,4.93,8.4,13.3,9.22,9.36,8.06,6.4,4.46,5.87,5.05,3.45,4.33
